name,metric,value
vqe,TNOC,39
qsvc,TNOC,49
vqd,TNOC,124
vqc,TNOC,0
ae,TNOC,0
qaoa,TNOC,0
fae,TNOC,21
hhl,TNOC,61
adapt_vqe,TNOC,0
grover,TNOC,0
phase_estimation,TNOC,0
iae,TNOC,0
ipe,TNOC,57
qgan,TNOC,18
shor,TNOC,64
qeom,TNOC,95
mlae,TNOC,0
vqe,NOO,0
qsvc,NOO,0
vqd,NOO,0
vqc,NOO,0
ae,NOO,0
qaoa,NOO,0
fae,NOO,0
hhl,NOO,6
adapt_vqe,NOO,8
grover,NOO,5
phase_estimation,NOO,0
iae,NOO,0
ipe,NOO,0
qgan,NOO,0
shor,NOO,0
qeom,NOO,0
mlae,NOO,0
vqe,TNOL,1
qsvc,TNOL,1
vqd,TNOL,3
vqc,TNOL,0
ae,TNOL,0
qaoa,TNOL,0
fae,TNOL,1
hhl,TNOL,1
adapt_vqe,TNOL,0
grover,TNOL,0
phase_estimation,TNOL,0
iae,TNOL,0
ipe,TNOL,1
qgan,TNOL,1
shor,TNOL,1
qeom,TNOL,3
mlae,TNOL,0
vqe,LEC,1
qsvc,LEC,1
vqd,LEC,1
vqc,LEC,1
ae,LEC,2
qaoa,LEC,1
fae,LEC,1
hhl,LEC,1
adapt_vqe,LEC,2
grover,LEC,2
phase_estimation,LEC,1
iae,LEC,2
ipe,LEC,2
qgan,LEC,1
shor,LEC,1
qeom,LEC,2
mlae,LEC,2
vqe,CNOC,0
qsvc,CNOC,0
vqd,CNOC,44
vqc,CNOC,0
ae,CNOC,79
qaoa,CNOC,0
fae,CNOC,74
hhl,CNOC,0
adapt_vqe,CNOC,0
grover,CNOC,77
phase_estimation,CNOC,52
iae,CNOC,65
ipe,CNOC,0
qgan,CNOC,32
shor,CNOC,53
qeom,CNOC,62
mlae,CNOC,82
vqe,DNC,2
qsvc,DNC,0
vqd,DNC,2
vqc,DNC,2
ae,DNC,2
qaoa,DNC,2
fae,DNC,0
hhl,DNC,2
adapt_vqe,DNC,0
grover,DNC,0
phase_estimation,DNC,0
iae,DNC,2
ipe,DNC,0
qgan,DNC,0
shor,DNC,0
qeom,DNC,2
mlae,DNC,2
vqe,LPAR,0
qsvc,LPAR,0
vqd,LPAR,0
vqc,LPAR,0
ae,LPAR,0
qaoa,LPAR,0
fae,LPAR,0
hhl,LPAR,1
adapt_vqe,LPAR,1
grover,LPAR,1
phase_estimation,LPAR,0
iae,LPAR,0
ipe,LPAR,0
qgan,LPAR,0
shor,LPAR,0
qeom,LPAR,0
mlae,LPAR,0
vqe,MLOC,52
qsvc,MLOC,13
vqd,MLOC,86
vqc,MLOC,44
ae,MLOC,37
qaoa,MLOC,7
fae,MLOC,56
hhl,MLOC,94
adapt_vqe,MLOC,106
grover,MLOC,62
phase_estimation,MLOC,15
iae,MLOC,88
ipe,MLOC,20
qgan,MLOC,53
shor,MLOC,43
qeom,MLOC,58
mlae,MLOC,32
vqe,NCT,1
qsvc,NCT,0
vqd,NCT,1
vqc,NCT,1
ae,NCT,1
qaoa,NCT,1
fae,NCT,0
hhl,NCT,1
adapt_vqe,NCT,0
grover,NCT,0
phase_estimation,NCT,0
iae,NCT,1
ipe,NCT,0
qgan,NCT,0
shor,NCT,0
qeom,NCT,1
mlae,NCT,1
vqe,NOC,0
qsvc,NOC,0
vqd,NOC,0
vqc,NOC,0
ae,NOC,0
qaoa,NOC,0
fae,NOC,0
hhl,NOC,31
adapt_vqe,NOC,29
grover,NOC,29
phase_estimation,NOC,0
iae,NOC,0
ipe,NOC,0
qgan,NOC,0
shor,NOC,0
qeom,NOC,0
mlae,NOC,0
vqe,NOFF,0
qsvc,NOFF,0
vqd,NOFF,1
vqc,NOFF,0
ae,NOFF,2
qaoa,NOFF,0
fae,NOFF,1
