name,runtime,metric,value
vqe,1,IdQ,0
qsvc,1,IdQ,1
vqd,0,IdQ,0
vqc,0,IdQ,1
ae,1,IdQ,821
qaoa,1,IdQ,0
fae,0,IdQ,0
hhl,0,IdQ,1
adapt_vqe,0,IdQ,19
grover,1,IdQ,2
phase_estimation,1,IdQ,0
iae,0,IdQ,0
ipe,1,IdQ,0
qgan,0,IdQ,0
shor,22,IdQ,15650
qeom,0,IdQ,19
mlae,0,IdQ,0
vqe,1,CG,0
qsvc,0,CG,0
vqd,0,CG,0
vqc,1,CG,0
ae,1,CG,0
qaoa,1,CG,0
fae,0,CG,0
hhl,0,CG,0
adapt_vqe,0,CG,0
grover,0,CG,0
phase_estimation,0,CG,0
iae,0,CG,0
ipe,0,CG,0
qgan,0,CG,0
shor,1,CG,0
qeom,1,CG,0
mlae,1,CG,0
vqe,1,LC,10
qsvc,1,LC,20
vqd,0,LC,10
vqc,1,LC,26
ae,1,LC,4842
qaoa,1,LC,6
fae,1,LC,64
hhl,0,LC,8
adapt_vqe,1,LC,291
grover,0,LC,42
phase_estimation,1,LC,1
iae,1,LC,42
ipe,1,LC,1
qgan,1,LC,8
shor,2,LC,99008
qeom,1,LC,124
mlae,1,LC,130
vqe,1,LPQ,0
qsvc,0,LPQ,0
vqd,0,LPQ,0
vqc,1,LPQ,0
ae,0,LPQ,0
qaoa,1,LPQ,0
fae,0,LPQ,0
hhl,0,LPQ,0
adapt_vqe,0,LPQ,0
grover,0,LPQ,0
phase_estimation,0,LPQ,0
iae,0,LPQ,0
ipe,0,LPQ,0
qgan,0,LPQ,0
shor,1,LPQ,0
qeom,0,LPQ,0
mlae,1,LPQ,0
vqe,0,ROC,0
qsvc,0,ROC,1
vqd,1,ROC,0
vqc,0,ROC,2
ae,376,ROC,49
qaoa,1,ROC,0
fae,1,ROC,4
hhl,0,ROC,0
adapt_vqe,4,ROC,7
grover,1,ROC,1
phase_estimation,1,ROC,0
iae,1,ROC,4
ipe,1,ROC,0
qgan,0,ROC,0
qeom,1,ROC,0
mlae,1,ROC,15
vqe,1,NC,0
qsvc,1,NC,0
vqd,1,NC,0
vqc,1,NC,0
ae,1,NC,2
qaoa,0,NC,0
fae,1,NC,2
hhl,1,NC,0
adapt_vqe,0,NC,0
grover,0,NC,4
phase_estimation,0,NC,1
iae,1,NC,3
ipe,1,NC,4
qgan,1,NC,0
shor,1,NC,2
qeom,1,NC,0
mlae,0,NC,2
vqe,1,IM,0
qsvc,1,IM,0
vqd,1,IM,0
vqc,0,IM,0
ae,0,IM,0
qaoa,0,IM,0
fae,0,IM,0
hhl,1,IM,0
adapt_vqe,1,IM,0
grover,1,IM,0
phase_estimation,1,IM,0
iae,1,IM,0
ipe,0,IM,0
qgan,0,IM,0
shor,1,IM,0
qeom,1,IM,0
mlae,1,IM,0
vqe,0,IQ,0
qsvc,1,IQ,0
vqd,1,IQ,0
vqc,1,IQ,0
ae,0,IQ,0
qaoa,1,IQ,0
fae,1,IQ,0
hhl,0,IQ,1
adapt_vqe,0,IQ,5
grover,1,IQ,1
phase_estimation,0,IQ,0
iae,0,IQ,0
ipe,1,IQ,0
qgan,0,IQ,0
shor,5,IQ,15650
qeom,1,IQ,0
mlae,0,IQ,0
shor,0,ROC,0
