;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78
q-fly-0;h();x();ccx();;ccx();x();ccx();;ccx();x();ccx();;ccx();;ccx();;ccx();x();ccx();;ccx();;ccx();;ccx();x();ccx();;ccx();x();ccx();;ccx();x();ccx();;ccx();x();ccx();;ccx();;ccx();;ccx();x();ccx();;ccx();;ccx();;ccx();x();cx();h();x();;ccx();;;;ccx();x();h();barrier();;;barrier();cx();h();measure();barrier();;barrier();;;barrier()
q-fly-1;h();;ccx();;ccx();;ccx();;ccx();x();ccx();;ccx();x();ccx();;ccx();;ccx();;ccx();x();ccx();;ccx();;ccx();;ccx();x();ccx();;ccx();x();ccx();;ccx();x();ccx();;ccx();x();ccx();;ccx();x();ccx();;ccx();x();ccx();;ccx();x();;cx();h();x();ccx();;;;ccx();x();h();barrier();;;barrier();cx();h();measure();barrier();;barrier();;;barrier()
q-fly-2;h();x();x();;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cx();cx();h();x();ccx();;;;ccx();x();h();barrier();;;barrier();cx();h();measure();barrier();;barrier();;;barrier()
q-fly-3;h();x();ccx();;ccx();x();ccx();;ccx();x();ccx();;ccx();ccx();;;ccx();ccx();;;ccx();x();ccx();;ccx();x();ccx();;ccx();ccx();;;ccx();x();ccx();;ccx();ccx();;;ccx();x();ccx();;ccx();ccx();;;ccx();x();ccx();;ccx();h();x();;;;ccx();;;;ccx();x();h();barrier();;;barrier();cx();h();measure();barrier();;barrier();;;barrier()
q-fly-4;h();x();ccx();;ccx();;ccx();;ccx();x();ccx();;ccx();ccx();;;ccx();ccx();;;ccx();;ccx();;ccx();x();ccx();;ccx();ccx();;;ccx();;ccx();;ccx();ccx();;;ccx();x();ccx();;ccx();ccx();;;ccx();;ccx();;ccx();h();x();;;;;;ccx();x();h();;;barrier();;;barrier();cx();h();measure();barrier();;barrier();;;barrier()
q-fly-5;h();x();h();ccx();h();h();;ccx();h();h();;ccx();h();h();;ccx();h();h();;ccx();h();h();;ccx();h();x();h();ccx();h();h();;ccx();h();h();;ccx();h();h();;ccx();h();h();;ccx();h();h();;ccx();h();h();;ccx();h();h();x();h();;;;;ccx();h();x();h();;barrier();;;barrier();cx();h();measure();barrier();;barrier();;;barrier()
q-epair1-0;;;ccx();ccx();ccx();;ccx();ccx();ccx();;ccx();ccx();ccx();;ccx();ccx();ccx();;ccx();ccx();ccx();;ccx();ccx();ccx();;ccx();ccx();ccx();;ccx();ccx();ccx();;ccx();ccx();ccx();;ccx();ccx();ccx();;ccx();ccx();ccx();;ccx();ccx();ccx();;ccx();ccx();ccx();;;;;;ccx();ccx();;ccx();ccx();;;barrier();h();cx();barrier();cx();measure();;barrier();;barrier();;;barrier()
q-epair1-1;;;ccx();ccx();ccx();;ccx();ccx();ccx();;ccx();ccx();ccx();ccx();;ccx();ccx();ccx();;ccx();ccx();;ccx();ccx();ccx();;ccx();ccx();ccx();ccx();;ccx();ccx();;ccx();ccx();ccx();ccx();;ccx();ccx();;ccx();ccx();ccx();ccx();;ccx();ccx();;ccx();ccx();ccx();;;;;;ccx();ccx();;ccx();ccx();;;barrier();h();cx();barrier();cx();measure();;barrier();;barrier();;;barrier()
q-epair1-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ccx();ccx();ccx();;;;barrier();h();cx();barrier();cx();measure();;barrier();;barrier();;;barrier()
q-epair1-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;barrier();h();cx();barrier();cx();measure();;barrier();;barrier();;;barrier()
q-epair1-4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;barrier();h();cx();barrier();cx();measure();;barrier();;barrier();;;barrier()
q-epair1-5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;barrier();h();cx();barrier();cx();measure();;barrier();;barrier();;;barrier()
q-epair2-0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;barrier();;cx();barrier();;;;barrier();rx(float);barrier();x();z();barrier()
q-epair2-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;barrier();;cx();barrier();;;;barrier();rx(float);barrier();x();z();barrier()
q-epair2-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;barrier();;cx();barrier();;;;barrier();rx(float);barrier();x();z();barrier()
q-epair2-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;barrier();;cx();barrier();;;;barrier();rx(float);barrier();x();z();barrier()
q-epair2-4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;barrier();;cx();barrier();;;;barrier();rx(float);barrier();x();z();barrier()
q-epair2-5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;barrier();;cx();barrier();;;;barrier();rx(float);barrier();x();z();barrier()
c-send0c0-0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;measure();;;;;z();
c-send0c1-0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;measure();;;;;z();
c-send0c2-0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;measure();;;;;z();
c-send0c3-0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;measure();;;;;z();
c-send0c4-0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;measure();;;;;z();
c-send0c5-0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;measure();;;;;z();
c-send1c0-0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;measure();;;;;x();;
c-send1c1-0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;measure();;;;;x();;
c-send1c2-0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;measure();;;;;x();;
c-send1c3-0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;measure();;;;;x();;
c-send1c4-0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;measure();;;;;x();;
c-send1c5-0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;measure();;;;;x();;
