;1;2;3;4
q-up-0;h();4^x mod 15();IQFT();measure()
q-up-1;h();4^x mod 15();IQFT();measure()
q-up-2;h();4^x mod 15();IQFT();measure()
q-up-3;h();4^x mod 15();IQFT();measure()
q-up-4;h();4^x mod 15();IQFT();measure()
q-up-5;h();4^x mod 15();IQFT();measure()
q-up-6;h();4^x mod 15();IQFT();measure()
q-up-7;h();4^x mod 15();IQFT();measure()
q-down-0;x();4^x mod 15();;
q-down-1;;4^x mod 15();;
q-down-2;;4^x mod 15();;
q-down-3;;4^x mod 15();;
q-aux-0;;4^x mod 15();;
q-aux-1;;4^x mod 15();;
q-aux-2;;4^x mod 15();;
q-aux-3;;4^x mod 15();;
q-aux-4;;4^x mod 15();;
q-aux-5;;4^x mod 15();;
c-m-0;;;;measure()
c-m-1;;;;measure()
c-m-2;;;;measure()
c-m-3;;;;measure()
c-m-4;;;;measure()
c-m-5;;;;measure()
c-m-6;;;;measure()
c-m-7;;;;measure()
