origin,name,path,lines_of_code
qiskit,grover,qiskit-terra/qiskit/algorithms/amplitude_amplifiers/grover.py,145
qiskit,ae,qiskit-terra/qiskit/algorithms/amplitude_estimators/ae.py,290
qiskit,fae,qiskit-terra/qiskit/algorithms/amplitude_estimators/fae.py,173
qiskit,iae,qiskit-terra/qiskit/algorithms/amplitude_estimators/iae.py,298
qiskit,mlae,qiskit-terra/qiskit/algorithms/amplitude_estimators/mlae.py,297
qiskit,vqd,qiskit-terra/qiskit/algorithms/eigen_solvers/vqd.py,430
qiskit,shor,qiskit-terra/qiskit/algorithms/factorizers/shor.py,291
qiskit,hhl,qiskit-terra/qiskit/algorithms/linear_solvers/hhl.py,278
qiskit,qaoa,qiskit-terra/qiskit/algorithms/minimum_eigen_solvers/qaoa.py,60
qiskit,vqe,qiskit-terra/qiskit/algorithms/minimum_eigen_solvers/vqe.py,381
qiskit,ipe,qiskit-terra/qiskit/algorithms/phase_estimators/ipe.py,91
qiskit,phase_estimation,qiskit-terra/qiskit/algorithms/phase_estimators/phase_estimation.py,104
qiskit,qsvc,qiskit-machine-learning/qiskit_machine_learning/algorithms/classifiers/qsvc.py,40
qiskit,vqc,qiskit-machine-learning/qiskit_machine_learning/algorithms/classifiers/vqc.py,105
qiskit,qgan,qiskit-machine-learning/qiskit_machine_learning/algorithms/distribution_learners/qgan/qgan.py,293
qiskit,qeom,qiskit-nature/qiskit_nature/algorithms/excited_states_solvers/qeom.py,371
qiskit,adapt_vqe,qiskit-nature/qiskit_nature/algorithms/ground_state_solvers/adapt_vqe.py,238
