origin,name,path
qiskit,grover,qiskit-terra/qiskit/algorithms/amplitude_amplifiers/grover.py
qiskit,ae,qiskit-terra/qiskit/algorithms/amplitude_estimators/ae.py
qiskit,fae,qiskit-terra/qiskit/algorithms/amplitude_estimators/fae.py
qiskit,iae,qiskit-terra/qiskit/algorithms/amplitude_estimators/iae.py
qiskit,mlae,qiskit-terra/qiskit/algorithms/amplitude_estimators/mlae.py
qiskit,vqd,qiskit-terra/qiskit/algorithms/eigen_solvers/vqd.py
qiskit,shor,qiskit-terra/qiskit/algorithms/factorizers/shor.py
qiskit,hhl,qiskit-terra/qiskit/algorithms/linear_solvers/hhl.py
qiskit,qaoa,qiskit-terra/qiskit/algorithms/minimum_eigen_solvers/qaoa.py
qiskit,vqe,qiskit-terra/qiskit/algorithms/minimum_eigen_solvers/vqe.py
qiskit,ipe,qiskit-terra/qiskit/algorithms/phase_estimators/ipe.py
qiskit,phase_estimation,qiskit-terra/qiskit/algorithms/phase_estimators/phase_estimation.py
qiskit,qsvc,qiskit-machine-learning/qiskit_machine_learning/algorithms/classifiers/qsvc.py
qiskit,vqc,qiskit-machine-learning/qiskit_machine_learning/algorithms/classifiers/vqc.py
qiskit,qgan,qiskit-machine-learning/qiskit_machine_learning/algorithms/distribution_learners/qgan/qgan.py
qiskit,qeom,qiskit-nature/qiskit_nature/algorithms/excited_states_solvers/qeom.py
qiskit,adapt_vqe,qiskit-nature/qiskit_nature/algorithms/ground_state_solvers/adapt_vqe.py
oreilly-qc,ch02_01_random_bit,oreilly-qc.github.io/samples/Qiskit/ch02_01_random_bit.py
oreilly-qc,ch02_02_random_byte,oreilly-qc.github.io/samples/Qiskit/ch02_02_random_byte.py
oreilly-qc,ch02_03_root_not,oreilly-qc.github.io/samples/Qiskit/ch02_03_root_not.py
oreilly-qc,ch02_04_spy_hunter,oreilly-qc.github.io/samples/Qiskit/ch02_04_spy_hunter.py
oreilly-qc,ch03_01_seperable_qubits,oreilly-qc.github.io/samples/Qiskit/ch03_01_seperable_qubits.py
oreilly-qc,ch03_02_entangled_qubits,oreilly-qc.github.io/samples/Qiskit/ch03_02_entangled_qubits.py
oreilly-qc,ch03_03_phase_kickback,oreilly-qc.github.io/samples/Qiskit/ch03_03_phase_kickback.py
oreilly-qc,ch03_04_swaptest,oreilly-qc.github.io/samples/Qiskit/ch03_04_swaptest.py
oreilly-qc,ch03_05_custom_cphase,oreilly-qc.github.io/samples/Qiskit/ch03_05_custom_cphase.py
oreilly-qc,ch03_06_remote_random,oreilly-qc.github.io/samples/Qiskit/ch03_06_remote_random.py
oreilly-qc,ch04_01_basic_teleportation,oreilly-qc.github.io/samples/Qiskit/ch04_01_basic_teleportation.py
oreilly-qc,ch04_02_teleport_fly,oreilly-qc.github.io/samples/Qiskit/ch04_02_teleport_fly.py
oreilly-qc,ch05_01_increment,oreilly-qc.github.io/samples/Qiskit/ch05_01_increment.py
oreilly-qc,ch05_02_quantum_add,oreilly-qc.github.io/samples/Qiskit/ch05_02_quantum_add.py
oreilly-qc,ch05_03_add_squared,oreilly-qc.github.io/samples/Qiskit/ch05_03_add_squared.py
oreilly-qc,ch05_04_conditional_execution,oreilly-qc.github.io/samples/Qiskit/ch05_04_conditional_execution.py
oreilly-qc,ch05_05_conditional_phase,oreilly-qc.github.io/samples/Qiskit/ch05_05_conditional_phase.py
oreilly-qc,ch05_06_cnot_logic,oreilly-qc.github.io/samples/Qiskit/ch05_06_cnot_logic.py
oreilly-qc,ch06_01_grover_iterations,oreilly-qc.github.io/samples/Qiskit/ch06_01_grover_iterations.py
oreilly-qc,ch06_02_grover_freq,oreilly-qc.github.io/samples/Qiskit/ch06_02_grover_freq.py
oreilly-qc,ch06_03_grover_multi,oreilly-qc.github.io/samples/Qiskit/ch06_03_grover_multi.py
oreilly-qc,ch07_01_qft_distinguish,oreilly-qc.github.io/samples/Qiskit/ch07_01_qft_distinguish.py
oreilly-qc,ch07_02_qft_signal,oreilly-qc.github.io/samples/Qiskit/ch07_02_qft_signal.py
oreilly-qc,ch07_03_qft_sq_wave,oreilly-qc.github.io/samples/Qiskit/ch07_03_qft_sq_wave.py
oreilly-qc,ch07_04_qft_big_sq_wave,oreilly-qc.github.io/samples/Qiskit/ch07_04_qft_big_sq_wave.py
oreilly-qc,ch07_05_qft_freq_to_state,oreilly-qc.github.io/samples/Qiskit/ch07_05_qft_freq_to_state.py
oreilly-qc,ch07_06_qft_prepare_state,oreilly-qc.github.io/samples/Qiskit/ch07_06_qft_prepare_state.py
oreilly-qc,ch07_07_qft_freq_manip,oreilly-qc.github.io/samples/Qiskit/ch07_07_qft_freq_manip.py
oreilly-qc,ch07_08_qft_rotating_phases,oreilly-qc.github.io/samples/Qiskit/ch07_08_qft_rotating_phases.py
